filter,n_samples,n_subjects,majority_baseline,strategy,K,model,accuracy,balanced_acc,f1
weak,119,28,0.7563025210084033,std+iforest,3,SVM_RBF,0.5966386554621849,0.5697318007662835,0.5423076923076923
weak,119,28,0.7563025210084033,std+iforest,3,RForest,0.7058823529411765,0.5250957854406131,0.5204375359815774
weak,119,28,0.7563025210084033,std+iforest,3,GradBoost,0.6386554621848739,0.49233716475095785,0.49160457029309484
weak,119,28,0.7563025210084033,std+iforest,5,LogReg_C0.1,0.5630252100840336,0.5591954022988506,0.5216450216450217
weak,119,28,0.7563025210084033,std+iforest,5,LogReg_C1,0.5546218487394958,0.5653256704980842,0.5199056101088528
weak,119,28,0.7563025210084033,std+iforest,5,LogReg_C10,0.5462184873949579,0.5597701149425287,0.5131818181818182
weak,119,28,0.7563025210084033,std+iforest,5,SVM_RBF,0.6218487394957983,0.5513409961685823,0.5407769488037046
weak,119,28,0.7563025210084033,std+iforest,5,RForest,0.7394957983193278,0.5706896551724138,0.5752446747265401
weak,119,28,0.7563025210084033,std+iforest,5,GradBoost,0.7226890756302521,0.571264367816092,0.5759637188208616
weak,119,28,0.7563025210084033,std+iforest,8,LogReg_C0.1,0.5126050420168067,0.4908045977011494,0.46645021645021645
weak,119,28,0.7563025210084033,std+iforest,8,LogReg_C1,0.48739495798319327,0.48582375478927203,0.45260538420933566
weak,119,28,0.7563025210084033,std+iforest,8,LogReg_C10,0.48739495798319327,0.48582375478927203,0.45260538420933566
weak,119,28,0.7563025210084033,std+iforest,8,SVM_RBF,0.5798319327731093,0.5235632183908046,0.5097231377719182
weak,119,28,0.7563025210084033,std+iforest,8,RForest,0.7647058823529411,0.5522988505747126,0.5418041804180418
weak,119,28,0.7563025210084033,std+iforest,8,GradBoost,0.7142857142857143,0.5306513409961686,0.5260074976569822
weak,119,28,0.7563025210084033,std+iforest,10,LogReg_C0.1,0.5126050420168067,0.47911877394636015,0.46044402751719826
weak,119,28,0.7563025210084033,std+iforest,10,LogReg_C1,0.5294117647058824,0.4902298850574712,0.47278481012658224
weak,119,28,0.7563025210084033,std+iforest,10,LogReg_C10,0.5294117647058824,0.4902298850574712,0.47278481012658224
weak,119,28,0.7563025210084033,std+iforest,10,SVM_RBF,0.6134453781512605,0.5457854406130268,0.5345238095238095
weak,119,28,0.7563025210084033,std+iforest,10,RForest,0.7478991596638656,0.5295019157088123,0.509075907590759
weak,119,28,0.7563025210084033,std+iforest,10,GradBoost,0.7058823529411765,0.5367816091954023,0.5360365378188704
weak,119,28,0.7563025210084033,std+iforest,15,LogReg_C0.1,0.5294117647058824,0.5252873563218391,0.4902080783353733
weak,119,28,0.7563025210084033,std+iforest,15,LogReg_C1,0.5294117647058824,0.5136015325670498,0.48484848484848486
weak,119,28,0.7563025210084033,std+iforest,15,LogReg_C10,0.5294117647058824,0.4902298850574712,0.47278481012658224
weak,119,28,0.7563025210084033,std+iforest,15,SVM_RBF,0.6218487394957983,0.5279693486590038,0.5237883503779457
weak,119,28,0.7563025210084033,std+iforest,15,RForest,0.773109243697479,0.5578544061302682,0.5477832512315272
weak,119,28,0.7563025210084033,std+iforest,15,GradBoost,0.680672268907563,0.5434865900383141,0.5448872785829307
weak,119,28,0.7563025210084033,std+iforest,20,LogReg_C0.1,0.5798319327731093,0.5469348659003832,0.5232371794871795
weak,119,28,0.7563025210084033,std+iforest,20,LogReg_C1,0.5630252100840336,0.5241379310344827,0.5041666666666667
weak,119,28,0.7563025210084033,std+iforest,20,LogReg_C10,0.5630252100840336,0.5241379310344827,0.5041666666666667
weak,119,28,0.7563025210084033,std+iforest,20,SVM_RBF,0.6302521008403361,0.5218390804597701,0.5201612903225806
weak,119,28,0.7563025210084033,std+iforest,20,RForest,0.7563025210084033,0.5350574712643679,0.5142857142857142
weak,119,28,0.7563025210084033,std+iforest,20,GradBoost,0.6890756302521008,0.5256704980842912,0.5245653817082389
